service,gender,race,hispanicity,paygrade,count
Army,MALE,WHITE,HISP,O08,0
Army,MALE,WHITE,NON-HISP,O08,91
Army,MALE,UNK,HISP,O08,0
Army,MALE,UNK,NON-HISP,O08,0
Army,FEMALE,AMI/ALN,HISP,O08,0
Army,FEMALE,AMI/ALN,NON-HISP,O08,0
Army,FEMALE,ASIAN,HISP,O08,0
Army,FEMALE,ASIAN,NON-HISP,O08,0
Army,FEMALE,BLACK,HISP,O08,0
Army,FEMALE,BLACK,NON-HISP,O08,0
Army,FEMALE,MULTI,HISP,O08,0
Army,FEMALE,MULTI,NON-HISP,O08,0
Army,FEMALE,P/I,HISP,O08,0
Army,FEMALE,P/I,NON-HISP,O08,0
Army,FEMALE,WHITE,HISP,O08,0
Army,FEMALE,WHITE,NON-HISP,O08,5
Army,FEMALE,UNK,HISP,O08,0
Army,FEMALE,UNK,NON-HISP,O08,0
Army,MALE,AMI/ALN,HISP,O09,0
Army,MALE,AMI/ALN,NON-HISP,O09,0
Army,MALE,ASIAN,HISP,O09,0
Army,MALE,ASIAN,NON-HISP,O09,0
Army,MALE,BLACK,HISP,O09,0
Army,MALE,BLACK,NON-HISP,O09,3
Army,MALE,MULTI,HISP,O09,0
Army,MALE,MULTI,NON-HISP,O09,0
Army,MALE,P/I,HISP,O09,0
Army,MALE,P/I,NON-HISP,O09,0
Army,MALE,WHITE,HISP,O09,0
Army,MALE,WHITE,NON-HISP,O09,50
Army,MALE,UNK,HISP,O09,0
Army,MALE,UNK,NON-HISP,O09,0
Army,FEMALE,AMI/ALN,HISP,O09,0
Army,FEMALE,AMI/ALN,NON-HISP,O09,0
Army,FEMALE,ASIAN,HISP,O09,0
Army,FEMALE,ASIAN,NON-HISP,O09,0
Army,FEMALE,BLACK,HISP,O09,0
Army,FEMALE,BLACK,NON-HISP,O09,0
Army,FEMALE,MULTI,HISP,O09,0
Army,FEMALE,MULTI,NON-HISP,O09,0
Army,FEMALE,P/I,HISP,O09,0
Army,FEMALE,P/I,NON-HISP,O09,0
Army,FEMALE,WHITE,HISP,O09,0
Army,FEMALE,WHITE,NON-HISP,O09,1
Army,FEMALE,UNK,HISP,O09,0
Army,FEMALE,UNK,NON-HISP,O09,0
Army,MALE,AMI/ALN,HISP,O10,0
Army,MALE,AMI/ALN,NON-HISP,O10,0
Army,MALE,ASIAN,HISP,O10,0
Army,MALE,ASIAN,NON-HISP,O10,0
Army,MALE,BLACK,HISP,O10,0
Army,MALE,BLACK,NON-HISP,O10,1
Army,MALE,MULTI,HISP,O10,0
Army,MALE,MULTI,NON-HISP,O10,0
Army,MALE,P/I,HISP,O10,0
Army,MALE,P/I,NON-HISP,O10,0
Army,MALE,WHITE,HISP,O10,0
Army,MALE,WHITE,NON-HISP,O10,9
Army,MALE,UNK,HISP,O10,0
Army,MALE,UNK,NON-HISP,O10,0
Army,FEMALE,AMI/ALN,HISP,O10,0
Army,FEMALE,AMI/ALN,NON-HISP,O10,0
Army,FEMALE,ASIAN,HISP,O10,0
Army,FEMALE,ASIAN,NON-HISP,O10,0
Army,FEMALE,BLACK,HISP,O10,0
Army,FEMALE,BLACK,NON-HISP,O10,0
Army,FEMALE,MULTI,HISP,O10,0
Army,FEMALE,MULTI,NON-HISP,O10,0
Army,FEMALE,P/I,HISP,O10,0
Army,FEMALE,P/I,NON-HISP,O10,0
Army,FEMALE,WHITE,HISP,O10,0
Army,FEMALE,WHITE,NON-HISP,O10,1
Army,FEMALE,UNK,HISP,O10,0
Army,FEMALE,UNK,NON-HISP,O10,0
Navy,MALE,AMI/ALN,HISP,O01,5
Navy,MALE,AMI/ALN,NON-HISP,O01,58
Navy,MALE,ASIAN,HISP,O01,6
Navy,MALE,ASIAN,NON-HISP,O01,251
Navy,MALE,BLACK,HISP,O01,14
Navy,MALE,BLACK,NON-HISP,O01,349
Navy,MALE,MULTI,HISP,O01,14
Navy,MALE,MULTI,NON-HISP,O01,136
Navy,MALE,P/I,HISP,O01,1
Navy,MALE,P/I,NON-HISP,O01,35
Navy,MALE,WHITE,HISP,O01,281
Navy,MALE,WHITE,NON-HISP,O01,4258
Navy,MALE,UNK,HISP,O01,70
Navy,MALE,UNK,NON-HISP,O01,121
Navy,FEMALE,AMI/ALN,HISP,O01,2
Navy,FEMALE,AMI/ALN,NON-HISP,O01,14
Navy,FEMALE,ASIAN,HISP,O01,2
Navy,FEMALE,ASIAN,NON-HISP,O01,68
Navy,FEMALE,BLACK,HISP,O01,1
Navy,FEMALE,BLACK,NON-HISP,O01,144
Navy,FEMALE,MULTI,HISP,O01,1
Navy,FEMALE,MULTI,NON-HISP,O01,28
Navy,FEMALE,P/I,HISP,O01,1
Navy,FEMALE,P/I,NON-HISP,O01,14
Navy,FEMALE,WHITE,HISP,O01,81
Navy,FEMALE,WHITE,NON-HISP,O01,916
Navy,FEMALE,UNK,HISP,O01,19
Navy,FEMALE,UNK,NON-HISP,O01,34
Navy,MALE,AMI/ALN,HISP,O02,8
Navy,MALE,AMI/ALN,NON-HISP,O02,41
Navy,MALE,ASIAN,HISP,O02,7
Navy,MALE,ASIAN,NON-HISP,O02,187
Navy,MALE,BLACK,HISP,O02,8
Navy,MALE,BLACK,NON-HISP,O02,391
Navy,MALE,MULTI,HISP,O02,11
Navy,MALE,MULTI,NON-HISP,O02,141
Navy,MALE,P/I,HISP,O02,2
Navy,MALE,P/I,NON-HISP,O02,13
Navy,MALE,WHITE,HISP,O02,229
Navy,MALE,WHITE,NON-HISP,O02,3919
Navy,MALE,UNK,HISP,O02,71
Navy,MALE,UNK,NON-HISP,O02,98
Navy,FEMALE,AMI/ALN,HISP,O02,0
Navy,FEMALE,AMI/ALN,NON-HISP,O02,7
Navy,FEMALE,ASIAN,HISP,O02,0
Navy,FEMALE,ASIAN,NON-HISP,O02,59
Navy,FEMALE,BLACK,HISP,O02,3
Navy,FEMALE,BLACK,NON-HISP,O02,144
Navy,FEMALE,MULTI,HISP,O02,8
Navy,FEMALE,MULTI,NON-HISP,O02,47
Navy,FEMALE,P/I,HISP,O02,0
Navy,FEMALE,P/I,NON-HISP,O02,1
Navy,FEMALE,WHITE,HISP,O02,53
Navy,FEMALE,WHITE,NON-HISP,O02,824
Navy,FEMALE,UNK,HISP,O02,28
Navy,FEMALE,UNK,NON-HISP,O02,23
Navy,MALE,AMI/ALN,HISP,O03,6
Navy,MALE,AMI/ALN,NON-HISP,O03,69
Navy,MALE,ASIAN,HISP,O03,13
Navy,MALE,ASIAN,NON-HISP,O03,556
Navy,MALE,BLACK,HISP,O03,27
Navy,MALE,BLACK,NON-HISP,O03,1070
Navy,MALE,MULTI,HISP,O03,31
Navy,MALE,MULTI,NON-HISP,O03,221
Navy,MALE,P/I,HISP,O03,1
Navy,MALE,P/I,NON-HISP,O03,32
Navy,MALE,WHITE,HISP,O03,526
Navy,MALE,WHITE,NON-HISP,O03,10443
Navy,MALE,UNK,HISP,O03,222
Navy,MALE,UNK,NON-HISP,O03,284
Navy,FEMALE,AMI/ALN,HISP,O03,0
Navy,FEMALE,AMI/ALN,NON-HISP,O03,17
Navy,FEMALE,ASIAN,HISP,O03,7
Navy,FEMALE,ASIAN,NON-HISP,O03,124
Navy,FEMALE,BLACK,HISP,O03,5
Navy,FEMALE,BLACK,NON-HISP,O03,368
Navy,FEMALE,MULTI,HISP,O03,8
Navy,FEMALE,MULTI,NON-HISP,O03,86
Navy,FEMALE,P/I,HISP,O03,1
Navy,FEMALE,P/I,NON-HISP,O03,14
Navy,FEMALE,WHITE,HISP,O03,114
Navy,FEMALE,WHITE,NON-HISP,O03,1835
Navy,FEMALE,UNK,HISP,O03,51
Navy,FEMALE,UNK,NON-HISP,O03,58
Navy,MALE,AMI/ALN,HISP,O04,3
Navy,MALE,AMI/ALN,NON-HISP,O04,51
Navy,MALE,ASIAN,HISP,O04,9
Navy,MALE,ASIAN,NON-HISP,O04,359
Navy,MALE,BLACK,HISP,O04,8
Navy,MALE,BLACK,NON-HISP,O04,623
Navy,MALE,MULTI,HISP,O04,5
Navy,MALE,MULTI,NON-HISP,O04,65
Navy,MALE,P/I,HISP,O04,1
Navy,MALE,P/I,NON-HISP,O04,23
Navy,MALE,WHITE,HISP,O04,393
Navy,MALE,WHITE,NON-HISP,O04,6896
Navy,MALE,UNK,HISP,O04,166
